[ANIM_META]
AnimIndex,Name,mDuration_ticks,mTicksPerSecond,FrameCount,Duration_sec
0,mixamo.com,107.0000,24.0000,108,4.458333

[RAW_KEYS] AnimIndex=0
Channel,KeyType,KeyIndex,mTime_ticks
mixamorig:Hips,POS,58,58.000000
mixamorig:Hips,POS,59,59.000000
mixamorig:Hips,POS,60,60.000000
mixamorig:Hips,POS,61,61.000000
mixamorig:Hips,POS,62,62.000000
mixamorig:Hips,POS,63,63.000000
mixamorig:Hips,POS,64,64.000000
mixamorig:Hips,POS,65,65.000000
mixamorig:Hips,POS,66,66.000000
mixamorig:Hips,POS,67,67.000000
mixamorig:Hips,POS,68,68.000000
mixamorig:Hips,POS,69,69.000000
mixamorig:Hips,POS,70,70.000000
mixamorig:Hips,POS,71,71.000000
mixamorig:Hips,POS,72,72.000000
mixamorig:Hips,POS,73,73.000000
mixamorig:Hips,POS,74,74.000000
mixamorig:Hips,POS,75,75.000000
mixamorig:Hips,POS,76,76.000000
mixamorig:Hips,POS,77,77.000000
mixamorig:Hips,POS,78,78.000000
mixamorig:Hips,POS,79,79.000000
mixamorig:Hips,POS,80,80.000000
mixamorig:Hips,POS,81,81.000000
mixamorig:Hips,POS,82,82.000000
mixamorig:Hips,POS,83,83.000000
mixamorig:Hips,POS,84,84.000000
mixamorig:Hips,POS,85,85.000000
mixamorig:Hips,POS,86,86.000000
mixamorig:Hips,POS,87,87.000000
mixamorig:Hips,POS,88,88.000000
mixamorig:Hips,POS,89,89.000000
mixamorig:Hips,POS,90,90.000000
mixamorig:Hips,POS,91,91.000000
mixamorig:Hips,POS,92,92.000000
mixamorig:Hips,POS,93,93.000000
mixamorig:Hips,POS,94,94.000000
mixamorig:Hips,POS,95,95.000000
mixamorig:Hips,POS,96,96.000000
mixamorig:Hips,POS,97,97.000000
mixamorig:Hips,POS,98,98.000000
mixamorig:Hips,POS,99,99.000000
mixamorig:Hips,POS,100,100.000000
mixamorig:Hips,POS,101,101.000000
mixamorig:Hips,POS,102,102.000000
mixamorig:Hips,POS,103,103.000000
mixamorig:Hips,POS,104,104.000000
mixamorig:Hips,POS,105,105.000000
mixamorig:Hips,POS,106,106.000000
mixamorig:Hips,POS,107,107.000000
mixamorig:Hips,ROT,0,0.000000
mixamorig:Hips,ROT,1,-inf
mixamorig:Hips,ROT,2,-0.000000
mixamorig:Hips,ROT,3,-0.000000
mixamorig:Hips,ROT,4,3.000000
mixamorig:Hips,ROT,5,-inf
mixamorig:Hips,ROT,6,-0.000000
mixamorig:Hips,ROT,7,-0.000000
mixamorig:Hips,ROT,8,6.000000
mixamorig:Hips,ROT,9,-inf
mixamorig:Hips,ROT,10,-0.000000
mixamorig:Hips,ROT,11,-0.000000
mixamorig:Hips,ROT,12,9.000000
mixamorig:Hips,ROT,13,-inf
mixamorig:Hips,ROT,14,-0.000000
mixamorig:Hips,ROT,15,-0.000000
mixamorig:Hips,ROT,16,12.000000
mixamorig:Hips,ROT,17,-inf
mixamorig:Hips,ROT,18,0.000000
mixamorig:Hips,ROT,19,-0.000000
mixamorig:Hips,ROT,20,15.000000
mixamorig:Hips,ROT,21,-inf
mixamorig:Hips,ROT,22,0.000000
mixamorig:Hips,ROT,23,-0.000000
mixamorig:Hips,ROT,24,18.000000
mixamorig:Hips,ROT,25,-inf
mixamorig:Hips,ROT,26,0.000000
mixamorig:Hips,ROT,27,-0.000000
mixamorig:Hips,ROT,28,21.000000
mixamorig:Hips,ROT,29,-inf
mixamorig:Hips,ROT,30,0.000000
mixamorig:Hips,ROT,31,-0.000000
mixamorig:Hips,ROT,32,24.000000
mixamorig:Hips,ROT,33,-inf
mixamorig:Hips,ROT,34,0.000000
mixamorig:Hips,ROT,35,-0.000000
mixamorig:Hips,ROT,36,27.000000
mixamorig:Hips,ROT,37,-inf
mixamorig:Hips,ROT,38,0.000000
mixamorig:Hips,ROT,39,-0.000000
mixamorig:Hips,ROT,40,30.000000
mixamorig:Hips,ROT,41,-inf
mixamorig:Hips,ROT,42,0.000000
mixamorig:Hips,ROT,43,-0.000000
mixamorig:Hips,ROT,44,33.000000
mixamorig:Hips,ROT,45,-inf
mixamorig:Hips,ROT,46,0.000000
mixamorig:Hips,ROT,47,-0.000000
mixamorig:Hips,ROT,48,36.000000
mixamorig:Hips,ROT,49,-inf
mixamorig:Hips,ROT,50,0.000000
mixamorig:Hips,ROT,51,-0.000000
mixamorig:Hips,ROT,52,39.000000
mixamorig:Hips,ROT,53,-inf
mixamorig:Hips,ROT,54,-0.000000
mixamorig:Hips,ROT,55,-0.000000
mixamorig:Hips,ROT,56,42.000000
mixamorig:Hips,ROT,57,-inf
mixamorig:Hips,ROT,58,-0.000000
mixamorig:Hips,ROT,59,-0.000000
mixamorig:Hips,ROT,60,45.000000
mixamorig:Hips,ROT,61,-inf
mixamorig:Hips,ROT,62,-0.000000
mixamorig:Hips,ROT,63,-0.000000
mixamorig:Hips,ROT,64,48.000000
mixamorig:Hips,ROT,65,-inf
mixamorig:Hips,ROT,66,-0.000000
mixamorig:Hips,ROT,67,-0.000000
mixamorig:Hips,ROT,68,51.000000
mixamorig:Hips,ROT,69,-inf
mixamorig:Hips,ROT,70,-0.000000
mixamorig:Hips,ROT,71,-0.000000
mixamorig:Hips,ROT,72,54.000000
mixamorig:Hips,ROT,73,-inf
mixamorig:Hips,ROT,74,-0.000000
mixamorig:Hips,ROT,75,-0.000000
mixamorig:Hips,ROT,76,57.000000
mixamorig:Hips,ROT,77,-inf
mixamorig:Hips,ROT,78,-0.000000
mixamorig:Hips,ROT,79,-0.000000
mixamorig:Hips,ROT,80,60.000000
mixamorig:Hips,ROT,81,-inf
mixamorig:Hips,ROT,82,-0.000000
mixamorig:Hips,ROT,83,-0.000000
mixamorig:Hips,ROT,84,63.000000
mixamorig:Hips,ROT,85,-inf
mixamorig:Hips,ROT,86,-0.000000
mixamorig:Hips,ROT,87,-0.000000
mixamorig:Hips,ROT,88,66.000000
mixamorig:Hips,ROT,89,-inf
mixamorig:Hips,ROT,90,0.000000
mixamorig:Hips,ROT,91,-0.000000
mixamorig:Hips,ROT,92,69.000000
mixamorig:Hips,ROT,93,-inf
mixamorig:Hips,ROT,94,0.000000
mixamorig:Hips,ROT,95,-0.000000
mixamorig:Hips,ROT,96,72.000000
mixamorig:Hips,ROT,97,-inf
mixamorig:Hips,ROT,98,0.000000
mixamorig:Hips,ROT,99,-0.000000
mixamorig:Hips,ROT,100,75.000000
mixamorig:Hips,ROT,101,-inf
mixamorig:Hips,ROT,102,0.000000
mixamorig:Hips,ROT,103,-0.000000
mixamorig:Hips,ROT,104,78.000000
mixamorig:Hips,ROT,105,-inf
mixamorig:Hips,ROT,106,0.000000
mixamorig:Hips,ROT,107,-0.000000
mixamorig:Hips,SCL,0,0.000000
mixamorig:Hips,SCL,1,1.000000
mixamorig:Hips,SCL,2,2.000000
mixamorig:Hips,SCL,3,3.000000
mixamorig:Hips,SCL,4,4.000000
mixamorig:Hips,SCL,5,5.000000
mixamorig:Hips,SCL,6,6.000000
mixamorig:Hips,SCL,7,7.000000
mixamorig:Hips,SCL,8,8.000000
mixamorig:Hips,SCL,9,9.000000
mixamorig:Hips,SCL,10,10.000000
mixamorig:Hips,SCL,11,11.000000
mixamorig:Hips,SCL,12,12.000000
mixamorig:Hips,SCL,13,13.000000
mixamorig:Hips,SCL,14,14.000000
mixamorig:Hips,SCL,15,15.000000
mixamorig:Hips,SCL,16,16.000000
mixamorig:Hips,SCL,17,17.000000
mixamorig:Hips,SCL,18,18.000000
mixamorig:Hips,SCL,19,19.000000
mixamorig:Hips,SCL,20,20.000000
mixamorig:Hips,SCL,21,21.000000
mixamorig:Hips,SCL,22,22.000000
mixamorig:Hips,SCL,23,23.000000
mixamorig:Hips,SCL,24,24.000000
mixamorig:Hips,SCL,25,25.000000
mixamorig:Hips,SCL,26,26.000000
mixamorig:Hips,SCL,27,27.000000
mixamorig:Hips,SCL,28,28.000000
mixamorig:Hips,SCL,29,29.000000
mixamorig:Hips,SCL,30,30.000000
mixamorig:Hips,SCL,31,31.000000
mixamorig:Hips,SCL,32,32.000000
mixamorig:Hips,SCL,33,33.000000
mixamorig:Hips,SCL,34,34.000000
mixamorig:Hips,SCL,35,35.000000
mixamorig:Hips,SCL,36,36.000000
mixamorig:Hips,SCL,37,37.000000
mixamorig:Hips,SCL,38,38.000000
mixamorig:Hips,SCL,39,39.000000
mixamorig:Hips,SCL,40,40.000000
mixamorig:Hips,SCL,41,41.000000
mixamorig:Hips,SCL,42,42.000000
mixamorig:Hips,SCL,43,43.000000
mixamorig:Hips,SCL,44,44.000000
mixamorig:Hips,SCL,45,45.000000
mixamorig:Hips,SCL,46,46.000000
mixamorig:Hips,SCL,47,47.000000
mixamorig:Hips,SCL,48,48.000000
mixamorig:Hips,SCL,49,49.000000
mixamorig:Hips,SCL,50,50.000000
mixamorig:Hips,SCL,51,51.000000
mixamorig:Hips,SCL,52,52.000000
mixamorig:Hips,SCL,53,53.000000
mixamorig:Hips,SCL,54,54.000000
mixamorig:Hips,SCL,55,55.000000
mixamorig:Hips,SCL,56,56.000000
mixamorig:Hips,SCL,57,57.000000
mixamorig:Hips,SCL,58,58.000000
mixamorig:Hips,SCL,59,59.000000
mixamorig:Hips,SCL,60,60.000000
mixamorig:Hips,SCL,61,61.000000
mixamorig:Hips,SCL,62,62.000000
mixamorig:Hips,SCL,63,63.000000
mixamorig:Hips,SCL,64,64.000000
mixamorig:Hips,SCL,65,65.000000
mixamorig:Hips,SCL,66,66.000000
mixamorig:Hips,SCL,67,67.000000
mixamorig:Hips,SCL,68,68.000000
mixamorig:Hips,SCL,69,69.000000
mixamorig:Hips,SCL,70,70.000000
mixamorig:Hips,SCL,71,71.000000
mixamorig:Hips,SCL,72,72.000000
mixamorig:Hips,SCL,73,73.000000
mixamorig:Hips,SCL,74,74.000000
mixamorig:Hips,SCL,75,75.000000
mixamorig:Hips,SCL,76,76.000000
mixamorig:Hips,SCL,77,77.000000
mixamorig:Hips,SCL,78,78.000000
mixamorig:Hips,SCL,79,79.000000
mixamorig:Hips,SCL,80,80.000000
mixamorig:Hips,SCL,81,81.000000
mixamorig:Hips,SCL,82,82.000000
mixamorig:Hips,SCL,83,83.000000
mixamorig:Hips,SCL,84,84.000000
mixamorig:Hips,SCL,85,85.000000
mixamorig:Hips,SCL,86,86.000000
mixamorig:Hips,SCL,87,87.000000
mixamorig:Hips,SCL,88,88.000000
mixamorig:Hips,SCL,89,89.000000
mixamorig:Hips,SCL,90,90.000000
mixamorig:Hips,SCL,91,91.000000
mixamorig:Hips,SCL,92,92.000000
mixamorig:Hips,SCL,93,93.000000
mixamorig:Hips,SCL,94,94.000000
mixamorig:Hips,SCL,95,95.000000
mixamorig:Hips,SCL,96,96.000000
mixamorig:Hips,SCL,97,97.000000
mixamorig:Hips,SCL,98,98.000000
mixamorig:Hips,SCL,99,99.000000
mixamorig:Hips,SCL,100,100.000000
mixamorig:Hips,SCL,101,101.000000
mixamorig:Hips,SCL,102,102.000000
mixamorig:Hips,SCL,103,103.000000
mixamorig:Hips,SCL,104,104.000000
mixamorig:Hips,SCL,105,105.000000
mixamorig:Hips,SCL,106,106.000000
mixamorig:Hips,SCL,107,107.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,POS,0,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,0,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,1,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,2,0.000298
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,3,-0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,4,3.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,5,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,6,0.000037
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,7,-0.000003
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,8,6.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,9,-inf
