[ANIM_META]
AnimIndex,Name,mDuration_ticks,mTicksPerSecond,FrameCount,Duration_sec
0,mixamo.com,24.0000,24.0000,25,1.000000

[RAW_KEYS] AnimIndex=0
Channel,KeyType,KeyIndex,mTime_ticks
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,146,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,147,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,148,12.299999
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,149,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,150,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,151,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,152,12.599999
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,153,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,154,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,155,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,156,13.400000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,157,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,158,0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,159,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,160,13.700000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,161,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,162,0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,163,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,164,13.999999
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,165,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,166,0.000002
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,167,-0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,168,14.300000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,169,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,170,0.000002
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,171,-0.000002
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,172,14.600000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,173,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,174,0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,SCL,0,0.000000
mixamorig:LeftFoot_$AssimpFbx$_Rotation,POS,0,0.000000
mixamorig:LeftFoot_$AssimpFbx$_Rotation,ROT,0,0.000000
mixamorig:LeftFoot_$AssimpFbx$_Rotation,ROT,1,-inf
mixamorig:LeftFoot_$AssimpFbx$_Rotation,ROT,2,0.000000
mixamorig:LeftFoot_$AssimpFbx$_Rotation,ROT,3,0.000000
